Date,Time,Open,High,Low,Close,Volume
20240208,10:50:00,2036.15,2036.40,2035.72,2035.84,97600
20240208,10:55:00,2035.86,2036.09,2035.40,2035.99,23910
20240208,11:00:00,2036.03,2036.18,2035.60,2035.63,111130
20240208,11:05:00,2035.63,2035.70,2034.05,2034.05,84700
20240208,11:10:00,2034.06,2034.06,2032.29,2033.01,126290
20240208,11:15:00,2033.05,2033.08,2032.22,2032.38,53370
20240208,11:20:00,2032.42,2032.47,2031.48,2031.91,64250
20240208,11:25:00,2031.88,2031.88,2029.80,2029.82,77200
20240208,11:30:00,2029.79,2029.97,2027.92,2029.80,128650
20240208,11:35:00,2029.78,2029.80,2028.38,2029.59,71580
20240208,11:40:00,2029.60,2030.00,2028.88,2029.92,68330
20240208,11:45:00,2029.93,2029.93,2027.98,2028.84,178640
20240208,11:50:00,2028.97,2029.07,2028.16,2028.26,50910
20240208,11:55:00,2028.18,2029.13,2027.79,2028.94,49500
20240208,12:00:00,2028.97,2029.03,2027.59,2027.61,72120
20240208,12:05:00,2027.61,2027.99,2026.28,2027.94,81629
20240208,12:10:00,2027.94,2028.37,2027.22,2027.90,82810
20240208,12:15:00,2027.86,2027.86,2026.79,2027.09,68940
20240208,12:20:00,2027.03,2027.53,2026.63,2027.26,33600
20240208,12:25:00,2027.23,2027.23,2026.32,2026.74,44450
20240208,12:30:00,2026.71,2026.79,2025.56,2025.63,73050
20240208,12:35:00,2025.62,2025.63,2023.86,2024.56,101230
20240208,12:40:00,2024.51,2025.02,2024.00,2024.59,162660
20240208,12:45:00,2024.55,2024.93,2024.16,2024.51,108309
20240208,12:50:00,2024.51,2024.98,2024.07,2024.27,45760
20240208,12:55:00,2024.24,2025.33,2023.56,2024.87,90120
20240208,13:00:00,2024.94,2024.97,2023.07,2023.69,169230
20240208,13:05:00,2023.71,2024.73,2023.56,2024.49,135640
20240208,13:10:00,2024.47,2025.10,2024.38,2024.97,79950
20240208,13:15:00,2024.98,2026.35,2024.80,2025.15,86760
20240208,13:20:00,2025.24,2026.35,2024.48,2026.21,92810
20240208,13:25:00,2026.21,2026.31,2024.91,2025.33,119570
20240208,13:30:00,2025.28,2025.70,2021.63,2024.13,291070
20240208,13:35:00,2024.13,2024.65,2023.01,2023.72,169690
20240208,13:40:00,2023.68,2024.72,2022.22,2022.74,122770
20240208,13:45:00,2022.68,2023.45,2021.53,2021.83,168730
20240208,13:50:00,2021.80,2023.24,2021.15,2022.45,253870
20240208,13:55:00,2022.44,2022.44,2020.83,2021.01,397620
20240208,14:00:00,2021.01,2022.10,2020.10,2021.63,363770
20240208,14:05:00,2021.63,2023.33,2020.86,2022.95,253790
20240208,14:10:00,2022.93,2023.39,2022.37,2022.95,165870
20240208,14:15:00,2022.95,2024.19,2022.73,2023.56,171330
20240208,14:20:00,2023.52,2024.49,2023.18,2024.37,109639
20240208,14:25:00,2024.35,2028.65,2024.35,2028.34,524520
20240208,14:30:00,2028.38,2033.93,2028.33,2031.02,726729
20240208,14:35:00,2030.97,2032.42,2029.97,2031.11,220840
20240208,14:40:00,2031.13,2031.13,2028.65,2029.53,279170
20240208,14:45:00,2029.54,2031.34,2029.32,2030.13,304420
20240208,14:50:00,2030.15,2030.67,2028.17,2028.61,300820
20240208,14:55:00,2028.57,2030.42,2027.63,2028.20,148600
20240208,15:00:00,2028.23,2029.52,2027.71,2029.48,227570
20240208,15:05:00,2029.66,2030.36,2028.58,2029.60,392940
20240208,15:10:00,2029.62,2029.63,2027.62,2028.24,177750
20240208,15:15:00,2028.22,2029.24,2027.52,2029.05,194140
20240208,15:20:00,2029.13,2029.18,2027.95,2028.09,120300
20240208,15:25:00,2028.08,2030.71,2027.97,2029.83,316620
